OBJECTID,SA_GUID_2016,SA_GUID_2022,SA_PUB2011,SA_PUB2016,SA_PUB2022,SA_GEOGID_2022,SA_CHANGE_CODE,SA_URBAN_AREA_FLAG,SA_URBAN_AREA_NAME,SA_NUTS1,SA_NUTS1_NAME,SA_NUTS2,SA_NUTS2_NAME,SA_NUTS3,SA_NUTS3_NAME,ED_GUID,ED_OFFICIAL,ED_ENGLISH,ED_GAEILGE,ED_ID_STR,ED_PART_COUNT,COUNTY_CODE,COUNTY_ENGLISH,COUNTY_GAEILGE,CSO_LEA,Shape__Area,Shape__Length
15865,4c07d11e-0caf-851d-e053-ca3ca8c0ca7f,4c07d11e-0caf-851d-e053-ca3ca8c0ca7f,197075001,197075001,197075001,A197075001,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-1a30-13a3-e055-000000000001,Y,KILLUKIN,CILL LÚCAINN,197075,1,30,ROSCOMMON,Ros Comáin,ROSCOMMON,16692330.9781189,24618.7168849508
15866,4c07d11e-0cb0-851d-e053-ca3ca8c0ca7f,4c07d11e-0cb0-851d-e053-ca3ca8c0ca7f,197053002,197053002,197053002,A197053002,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-19de-13a3-e055-000000000001,Y,DRUMDAFF,DROIM DAIMH,197053,1,30,ROSCOMMON,Ros Comáin,ROSCOMMON,7558902.01837158,14273.5994791044
15867,4c07d11e-074a-851d-e053-ca3ca8c0ca7f,4c07d11e-074a-851d-e053-ca3ca8c0ca7f,167010002,167010002,167010002,A167010002,0,0,,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,2ae19629-183c-13a3-e055-000000000001,Y,BALRATHBOYNE,BAILE RÁTH BAOITHÍN,167010,1,11,MEATH,An Mhí,KELLS,6313629.55670166,14872.017271982
15868,4c07d11e-074b-851d-e053-ca3ca8c0ca7f,4c07d11e-074b-851d-e053-ca3ca8c0ca7f,167060002,167060002,167060002,A167060002,0,0,,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,2ae19629-187c-13a3-e055-000000000001,Y,MARTRY,MARTRA,167060,1,11,MEATH,An Mhí,KELLS,8864148.97589111,14866.6958684309
15869,4c07d11e-074f-851d-e053-ca3ca8c0ca7f,4c07d11e-074f-851d-e053-ca3ca8c0ca7f,167060001,167060001,167060001,A167060001,0,0,,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,2ae19629-187c-13a3-e055-000000000001,Y,MARTRY,MARTRA,167060,1,11,MEATH,An Mhí,KELLS,7873166.96124268,14339.1906419109
15870,4c07d11e-0751-851d-e053-ca3ca8c0ca7f,4c07d11e-0751-851d-e053-ca3ca8c0ca7f,167012001,167012001,167012001,A167012001,0,0,,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,2ae19629-1847-13a3-e055-000000000001,Y,BOHERBOY,AN BÓTHAR BUÍ,167012,1,11,MEATH,An Mhí,KELLS,10927438.2455444,19683.1090822961
15871,4c07d11e-078d-851d-e053-ca3ca8c0ca7f,4c07d11e-078d-851d-e053-ca3ca8c0ca7f,167016001,167016001,167016001,A167016001,0,0,,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,2ae19629-1852-13a3-e055-000000000001,Y,CASTLEKEERAN,DÍSEART CIARÁIN,167016,1,11,MEATH,An Mhí,KELLS,5917778.36471558,15757.4518320382
15872,4c07d11e-078f-851d-e053-ca3ca8c0ca7f,4c07d11e-078f-851d-e053-ca3ca8c0ca7f,167089003,167089003,167089003,A167089003,0,0,,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,2ae19629-182a-13a3-e055-000000000001,Y,TELTOWN,TAILTIN,167089,1,11,MEATH,An Mhí,KELLS,7084661.14349365,13718.1328923371
15873,4c07d11e-0dc5-851d-e053-ca3ca8c0ca7f,4c07d11e-0dc5-851d-e053-ca3ca8c0ca7f,067126001,067126001,067126001,A067126001,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-22cd-13a3-e055-000000000001,Y,KILLEANY,CILL ÉINNE,067126,1,27,GALWAY,Gaillimh,TUAM,10361412.0289917,18408.3236911311
15874,4c07d11e-0dc6-851d-e053-ca3ca8c0ca7f,4c07d11e-0dc6-851d-e053-ca3ca8c0ca7f,067020001,067020001,067020001,A067020001,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-2068-13a3-e055-000000000001,Y,BALLINDUFF,BAILE AN DUIBH,067020,1,27,GALWAY,Gaillimh,TUAM,6061189.76571655,12142.2257504263
15875,4c07d11e-1253-851d-e053-ca3ca8c0ca7f,4c07d11e-1253-851d-e053-ca3ca8c0ca7f,247004002,247004002,247004002,A247004002,0,0,,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1bc6-13a3-e055-000000000001,Y,ARDCOLM,ARD CHOLAIM,247004,1,14,WEXFORD,Loch Garman,WEXFORD,4136300.23928833,12465.5826504934
15876,4c07d11e-0ca2-851d-e053-ca3ca8c0ca7f,4c07d11e-0ca2-851d-e053-ca3ca8c0ca7f,247065001,247065001,247065001,A247065001,0,0,,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1e42-13a3-e055-000000000001,Y,KILGORMAN,CILL GHORMÁIN,247065,1,14,WEXFORD,Loch Garman,GOREY,2714052.30459595,10327.1372869178
